date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:36:48	150/150	---M-Z	200	added ('OK')	text/plain	etag:%22196-5ea4be1175ad2-gzip%22	https://unicc.am/robots.txt		(from )
08:36:48	6650/6650	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Oct%202022%2007:36:48%20GMT	https://unicc.am/	home/Jay_codex/Z/zues/unicc.am/index.html	(from )
08:36:49	1840/1840	---MCZ	200	added ('OK')	text/css	etag:W/%2262da2da6-730%22	https://unicc.am/css/main.min.css	home/Jay_codex/Z/zues/unicc.am/css/main.min.css	(from https://unicc.am/)
08:36:50	116623/116623	---MCZ	200	added ('OK')	text/css	etag:W/%2262da2da6-1c78f%22	https://unicc.am/css/bootstrap.min.css	home/Jay_codex/Z/zues/unicc.am/css/bootstrap.min.css	(from https://unicc.am/)
08:36:51	19036/19036	---MCZ	200	added ('OK')	text/css	etag:W/%2262da2da6-4a5c%22	https://unicc.am/css/bootstrap-theme.min.css	home/Jay_codex/Z/zues/unicc.am/css/bootstrap-theme.min.css	(from https://unicc.am/)
08:36:52	11699/11699	---MCZ	200	added ('OK')	text/css	etag:W/%2262da2da6-2db3%22	https://unicc.am/css/nstyle.min.css	home/Jay_codex/Z/zues/unicc.am/css/nstyle.min.css	(from https://unicc.am/)
08:36:53	95790/95790	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262da2da6-1762e%22	https://unicc.am/css/jquery.min.js	home/Jay_codex/Z/zues/unicc.am/css/jquery.min.js	(from https://unicc.am/)
08:36:54	35956/35956	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262da2da6-8c74%22	https://unicc.am/css/bootstrap.min.js	home/Jay_codex/Z/zues/unicc.am/css/bootstrap.min.js	(from https://unicc.am/)
08:36:55	144/144	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262da2da6-90%22	https://unicc.am/css/bootstrap-noconflict.js	home/Jay_codex/Z/zues/unicc.am/css/bootstrap-noconflict.js	(from https://unicc.am/)
08:36:56	8289/8289	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262da2da6-2061%22	https://unicc.am/js/user.js	home/Jay_codex/Z/zues/unicc.am/js/user.js	(from https://unicc.am/)
08:36:57	7279/7279	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262da2da6-1c6f%22	https://unicc.am/js/sha1.js	home/Jay_codex/Z/zues/unicc.am/js/sha1.js	(from https://unicc.am/)
